,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
117,Victor,Olofsson,Calgary Flames,L,180,71,21,6,0,0,0,0,0,72.0,0.0,18.0,126,936.0,90.0,144.0
118,Jean-Gabriel,Pageau,,C,180,71,22,6,0,0,0,0,0,0.0,7092.0,4824.0,0,792.0,1188.0,864.0
119,Kyle,Palmieri,,C,192,72,22,6,0,0,0,0,0,288.0,72.0,72.0,0,2304.0,576.0,504.0
120,Artemi,Panarin,,L,176,72,23,6,0,0,0,0,0,120.0,0.0,0.0,0,1890.0,90.0,90.0
121,Aliaksei,Protas,Dallas Stars,C,250,78,22,6,0,0,0,0,0,120.0,120.0,390.0,0,1350.0,330.0,780.0
122,Juraj,Slafkovský,,L,225,75,21,6,0,0,0,0,0,576.0,144.0,432.0,0,1656.0,1368.0,936.0
123,Pius,Suter,Buffalo Sabres,C,172,71,22,6,0,0,0,0,0,288.0,3636.0,3924.0,0,1296.0,612.0,252.0
124,Owen,Tippett,,R,210,73,20,6,0,0,0,0,0,600.0,0.0,30.0,0,1500.0,1050.0,270.0
125,Matthew,Wood,St. Louis Blues,R,202,76,14,6,0,0,0,0,0,0.0,48.0,120.0,84,744.0,240.0,144.0
126,Miles,Wood,San Jose Sharks,L,209,74,16,6,0,0,0,0,0,180.0,30.0,150.0,0,840.0,390.0,300.0
127,Josh,Anderson,,R,226,75,21,5,0,0,0,0,0,280.0,180.0,40.0,0,440.0,760.0,360.0
128,Rasmus,Andersson,Vancouver Canucks,D,202,73,23,5,0,0,0,0,0,500.0,0.0,0.0,0,1300.0,300.0,1075.0
129,Joel,Armia,Carolina Hurricanes,R,216,75,22,5,0,0,0,0,0,300.0,75.0,125.0,0,675.0,525.0,275.0
130,Jesper,Bratt,Montréal Canadiens,L,175,70,21,5,0,0,0,0,0,150.0,0.0,0.0,0,1250.0,600.0,200.0
131,Connor,Brown,Montréal Canadiens,R,184,72,14,5,0,0,0,0,0,40.0,60.0,100.0,0,400.0,160.0,200.0
132,Bowen,Byram,,D,205,73,21,5,0,0,0,0,0,250.0,0.0,0.0,0,800.0,350.0,725.0
133,Noah,Cates,,L,194,74,20,5,0,0,0,0,0,150.0,3125.0,4425.0,0,1025.0,450.0,450.0
134,Kirby,Dach,,C,221,76,15,5,0,0,0,0,0,320.0,920.0,1220.0,0,440.0,420.0,340.0
135,William,Eklund,,L,185,70,18,5,0,0,0,0,0,80.0,0.0,140.0,0,820.0,320.0,360.0
136,Michael,Eyssimont,Boston Bruins,C,195,72,23,5,0,0,0,0,0,375.0,25.0,50.0,0,1250.0,450.0,275.0
137,Joel,Farabee,Vancouver Canucks,L,186,72,23,5,0,0,0,0,0,140.0,160.0,220.0,0,860.0,420.0,360.0
138,Emmitt,Finnie,Pittsburgh Penguins,C,195,73,22,5,0,0,0,0,0,0.0,100.0,240.0,0,720.0,840.0,340.0
139,Conor,Garland,New Jersey Devils,R,165,70,18,5,0,0,0,0,0,275.0,125.0,275.0,0,1100.0,225.0,200.0
140,Adam,Gaudette,,R,190,73,18,5,0,0,0,0,0,200.0,825.0,925.0,0,625.0,450.0,125.0
141,Taylor,Hall,Detroit Red Wings,L,210,73,21,5,0,0,0,0,0,250.0,125.0,275.0,0,850.0,300.0,250.0
142,Roope,Hintz,Edmonton Oilers,C,217,75,17,5,0,0,0,0,0,50.0,3550.0,2750.0,0,1225.0,375.0,200.0
143,Dylan,Holloway,Buffalo Sabres,L,207,73,22,5,0,0,0,0,0,100.0,200.0,125.0,0,1150.0,1550.0,550.0
144,Parker,Kelly,Calgary Flames,C,185,73,21,5,0,0,0,0,0,200.0,360.0,540.0,0,580.0,980.0,320.0
145,Ben,Kindel,Toronto Maple Leafs,C,182,71,19,5,0,0,0,0,0,120.0,1060.0,1140.0,0,740.0,200.0,340.0
146,Matthew,Knies,New York Rangers,L,232,75,19,5,0,0,0,0,0,160.0,0.0,0.0,0,840.0,1000.0,320.0
147,Travis,Konecny,,R,192,70,20,5,0,0,0,0,0,375.0,175.0,375.0,0,1100.0,800.0,375.0
148,Alex,Laferriere,Carolina Hurricanes,R,205,73,22,5,0,0,0,0,0,100.0,1025.0,1175.0,0,1150.0,1325.0,375.0
149,Ryan,Leonard,Dallas Stars,R,205,73,22,5,0,0,0,0,0,200.0,100.0,60.0,0,860.0,660.0,160.0
150,Ryan,McLeod,,C,204,75,21,5,0,0,0,0,0,0.0,3060.0,3880.0,0,600.0,60.0,180.0
151,Bobby,McMann,New York Rangers,C,217,74,22,5,0,0,0,0,0,375.0,50.0,25.0,0,950.0,1300.0,325.0
152,Mason,McTavish,Washington Capitals,C,219,73,22,5,0,0,0,0,0,750.0,3325.0,3925.0,0,850.0,600.0,350.0
153,Josh,Morrissey,,D,195,72,20,5,0,0,0,0,0,150.0,0.0,0.0,0,900.0,300.0,1075.0
154,Frank,Nazar,Philadelphia Flyers,C,190,70,19,5,0,0,0,0,0,200.0,2825.0,3725.0,0,1000.0,275.0,625.0
155,Simon,Nemec,Montréal Canadiens,D,190,73,21,5,0,0,0,0,0,180.0,0.0,0.0,105,465.0,60.0,525.0
156,Valeri,Nichushkin,Calgary Flames,R,210,76,17,5,0,0,0,0,0,60.0,15.0,0.0,0,615.0,240.0,165.0
157,Ryan,Nugent-Hopkins,New York Islanders,C,192,73,16,5,0,0,0,0,0,80.0,760.0,1080.0,0,460.0,140.0,120.0
158,Darnell,Nurse,New York Islanders,D,215,76,24,5,0,0,0,0,0,435.0,0.0,0.0,0,810.0,525.0,885.0
159,Taylor,Raddysh,,R,201,74,23,5,0,0,0,0,0,30.0,0.0,45.0,115,330.0,300.0,150.0
160,Nicholas,Robertson,New York Rangers,L,180,69,21,5,0,0,0,0,0,0.0,25.0,25.0,0,925.0,650.0,225.0
161,Eric,Robinson,Detroit Red Wings,L,220,74,15,5,0,0,0,0,0,50.0,0.0,25.0,0,450.0,475.0,100.0
162,Evan,Rodrigues,,C,182,71,21,5,0,0,0,0,0,200.0,2425.0,3125.0,0,1225.0,600.0,450.0
163,Marco,Rossi,Ottawa Senators,C,182,69,17,5,0,0,0,0,0,50.0,2675.0,2825.0,0,675.0,275.0,250.0
164,Bryan,Rust,Toronto Maple Leafs,R,202,71,19,5,0,0,0,0,0,120.0,0.0,20.0,0,900.0,120.0,460.0
165,Mattias,Samuelsson,,D,229,76,19,5,0,0,0,0,0,80.0,0.0,0.0,0,480.0,500.0,860.0
166,Jimmy,Snuggerud,Buffalo Sabres,R,193,73,22,5,0,0,0,0,0,120.0,40.0,0.0,0,880.0,380.0,280.0
167,Logan,Stankoven,Detroit Red Wings,C,165,68,21,5,0,0,0,0,0,375.0,2825.0,3925.0,0,1075.0,175.0,200.0
168,Dylan,Strome,Dallas Stars,C,200,76,20,5,0,0,0,0,0,160.0,4000.0,2980.0,0,740.0,140.0,180.0
169,Nick,Suzuki,,C,207,71,21,5,0,0,0,0,0,100.0,4800.0,4375.0,0,1100.0,450.0,475.0
170,Teuvo,Teravainen,Philadelphia Flyers,C,191,71,21,5,0,0,0,0,0,50.0,600.0,675.0,0,650.0,225.0,325.0
171,Tyler,Toffoli,,C,205,72,22,5,0,0,0,0,0,50.0,25.0,75.0,0,1075.0,425.0,350.0
172,Alexander,Wennberg,,C,190,74,22,5,0,0,0,0,0,200.0,4000.0,4525.0,0,575.0,125.0,825.0
173,Shane,Wright,,C,192,72,21,5,0,0,0,0,0,50.0,1475.0,2475.0,0,775.0,475.0,275.0
174,Pavel,Zacha,Boston Bruins,C,211,76,23,5,0,0,0,0,0,400.0,3550.0,3150.0,0,900.0,625.0,350.0
175,Jason,Zucker,,L,198,71,13,5,0,0,0,0,0,120.0,260.0,380.0,0,560.0,340.0,40.0
176,Mikael,Backlund,Vancouver Canucks,C,206,72,23,4,0,0,0,0,0,64.0,3392.0,3136.0,0,832.0,240.0,128.0
177,Anthony,Beauvillier,Dallas Stars,L,181,71,22,4,0,0,0,0,0,48.0,48.0,36.0,0,552.0,360.0,108.0
178,Sam,Bennett,,C,193,73,21,4,0,0,0,0,0,384.0,2192.0,2064.0,0,672.0,672.0,144.0
179,Nick,Bjugstad,Buffalo Sabres,C,210,78,19,4,0,0,0,0,0,160.0,912.0,928.0,0,512.0,560.0,256.0
180,Zack,Bolduc,,R,187,72,21,4,0,0,0,0,0,160.0,144.0,112.0,0,480.0,640.0,224.0
181,Braeden,Bowman,,R,205,73,6,4,0,0,0,0,0,64.0,0.0,0.0,0,208.0,16.0,64.0
182,Gavin,Brindley,Calgary Flames,C,173,68,18,4,0,0,0,0,0,96.0,32.0,80.0,0,352.0,304.0,64.0
183,Michael,Bunting,St. Louis Blues,L,186,72,21,4,0,0,0,0,0,96.0,48.0,112.0,0,384.0,112.0,144.0
184,Quinton,Byfield,Carolina Hurricanes,R,225,77,22,4,0,0,0,0,0,128.0,2096.0,2992.0,0,912.0,272.0,144.0
185,John,Carlson,Dallas Stars,D,220,75,21,4,0,0,0,0,0,96.0,0.0,0.0,0,720.0,128.0,528.0
186,Ross,Colton,Calgary Flames,C,194,72,21,4,0,0,0,0,0,80.0,208.0,160.0,0,784.0,784.0,224.0
187,Nick,Cousins,,C,191,71,21,4,0,0,0,0,0,496.0,96.0,112.0,0,240.0,672.0,240.0
188,Charlie,Coyle,San Jose Sharks,C,221,75,22,4,0,0,0,0,0,64.0,2736.0,2656.0,0,576.0,464.0,272.0
189,Lawson,Crouse,,L,214,76,22,4,0,0,0,0,0,96.0,160.0,176.0,0,608.0,944.0,288.0
190,Ivan,Demidov,,R,192,73,21,4,0,0,0,0,0,160.0,0.0,0.0,0,384.0,112.0,160.0
191,Connor,Dewar,Toronto Maple Leafs,C,187,70,21,4,0,0,0,0,0,64.0,32.0,80.0,0,608.0,688.0,208.0
192,Jack,Drury,Calgary Flames,C,186,71,21,4,0,0,0,0,0,144.0,1776.0,1644.0,0,348.0,84.0,252.0
193,Nikolaj,Ehlers,Detroit Red Wings,L,168,72,21,4,0,0,0,0,0,96.0,96.0,160.0,0,928.0,96.0,80.0
194,Joel,Eriksson Ek,Ottawa Senators,C,207,75,22,4,0,0,0,0,0,192.0,3984.0,3616.0,0,1072.0,624.0,288.0
195,Brock,Faber,Ottawa Senators,D,200,73,22,4,0,0,0,0,0,32.0,0.0,0.0,0,768.0,128.0,656.0
196,Morgan,Frost,Vancouver Canucks,C,193,72,23,4,0,0,0,0,0,224.0,2752.0,2256.0,0,704.0,224.0,256.0
197,Zemgus,Girgensons,Los Angeles Kings,C,197,75,14,4,0,0,0,0,0,72.0,312.0,444.0,0,168.0,444.0,192.0
198,Claude,Giroux,,R,186,71,21,4,0,0,0,0,0,64.0,1904.0,800.0,0,656.0,320.0,64.0
199,A.J.,Greer,,L,209,75,21,4,0,0,0,0,0,592.0,32.0,80.0,0,320.0,1088.0,144.0
200,Arseny,Gritsyuk,Montréal Canadiens,R,195,72,21,4,0,0,0,0,0,160.0,64.0,32.0,0,752.0,400.0,160.0
201,Dougie,Hamilton,Montréal Canadiens,D,230,78,17,4,0,0,0,0,0,96.0,0.0,0.0,0,540.0,216.0,240.0
202,Ryan,Hartman,Ottawa Senators,R,197,72,20,4,0,0,0,0,0,72.0,1344.0,1716.0,0,492.0,228.0,252.0
203,Simon,Holmstrom,,R,208,73,21,4,0,0,0,0,0,96.0,32.0,32.0,0,336.0,80.0,464.0
204,Jonathan,Huberdeau,Vancouver Canucks,L,200,73,18,4,0,0,0,0,0,252.0,36.0,48.0,0,384.0,132.0,168.0
205,Alex,Iafallo,,L,201,72,20,4,0,0,0,0,0,96.0,96.0,32.0,0,528.0,272.0,256.0
206,Calle,Jarnkrok,New York Rangers,C,193,72,16,4,0,0,0,0,0,64.0,96.0,48.0,0,256.0,224.0,80.0
207,William,Karlsson,,C,190,72,14,4,0,0,0,0,0,48.0,1092.0,804.0,0,360.0,36.0,168.0
208,Mark,Kastelic,Boston Bruins,C,234,76,23,4,0,0,0,0,0,304.0,1616.0,1232.0,0,464.0,848.0,464.0
